"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2022","E","Estimate","","1683.446334"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","3495.742361"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2024","E","Estimate","","3800.612224"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2015","","","","2724.594273"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2016","","","","2415.189442"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2017","","","","2387.638921"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2018","E","Estimate","","1630.576266"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2019","E","Estimate","","1767.274"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2020","E","Estimate","","1220.135"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2021","E","Estimate","","1511.809906"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2022","E","Estimate","","992.182733"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2023","E","Estimate","","1180.486964"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2024","E","Estimate","","1438.887659"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","012","DZA","Algeria","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2015","","","","631.390846"
