year,product_sector,value,global_demand_index,demand_growth_rate_pct,demand_3yr_ma,value_std,global_demand_index_std,demand_growth_rate_pct_std,demand_3yr_ma_std,value_minmax,global_demand_index_minmax,demand_growth_rate_pct_minmax,demand_3yr_ma_minmax,value_robust,global_demand_index_robust,demand_growth_rate_pct_robust,demand_3yr_ma_robust
2018,Fuels,42383.226118,0.2404661745106874,18.51888017171528,36097.16995033333,0.5483240224138356,0.521320772337172,0.5935937248214553,0.4089214552746444,0.20254344522972142,0.2403792404096636,0.5357141043268691,0.18196807483231625,2.929114381140864,2.796851559832133,0.7280066847230874,2.3144097738934346
2019,Fuels,35549.504,0.2223228208519677,-16.123647829389142,37897.82267766666,0.3821796407832215,0.4448774484698514,-0.7047332719783637,0.4536230354093237,0.16986862894243893,0.22223381011381865,0.35513205470646036,0.1910517832449817,2.4061418377808366,2.563018752712475,-0.7540123519306556,2.4441595248293297
2020,Fuels,20442.477,0.1778256034224068,-42.49574621350555,32791.735706,0.014891124239535954,0.25739748929881173,-1.6931024606607725,0.32686335961296675,0.09763576325833025,0.17773149965816007,0.2176614988958976,0.16529323220609293,1.2500280543437614,1.9895355116156794,-1.882219619036564,2.0762298831088444
2021,Fuels,34790.176838,0.2285823830512039,70.18572083021056,30260.71927933333,0.36371855331033176,0.47125083838797616,2.5299551261643476,0.2640303480603258,0.16623797567736953,0.2284940887649025,0.8050392523999166,0.15252507604887827,2.3480318868205083,2.6436924268258633,2.9383315610486394,1.8938522674866471
2022,Fuels,59533.766271,0.2846244909354293,71.12234452908417,38255.473369666666,0.9652953067517985,0.7073728411767078,2.5650577559161762,0.4625017885558776,0.2845471818538476,0.2845426110708494,0.8099216162753315,0.1928560148718803,4.241614574876819,3.365967021146693,2.9784006389134965,2.46993078405363
2023,Fuels,51205.16516700001,0.260196780221958,-13.98970974906556,48509.70275866667,0.7628067863849349,0.6044516593195897,-0.6247578897229186,0.7170651753731697,0.24472473863707492,0.26011210443045596,0.366255691881426,0.2445852730193996,3.6042416137320727,3.051140982086779,-0.6627217608404479,3.2088204594840835
2024,Fuels,45649.823701,0.2417841979036461,-10.849181811799404,52129.58504633334,0.6277429431852924,0.526873995351387,-0.5070576974902181,0.8069295094026835,0.21816238232812427,0.2416974146598652,0.38262640743034887,0.26284640393609376,3.179101257489767,2.813838337228537,-0.5283689160358491,3.4696585534221507
2015,Fuels And Mining Products,36460.26445,0.2110701890099447,,36460.26445,0.4043224392707836,0.39746677696777877,-0.04417860417700942,0.4179353520838021,0.17422334660166125,0.21097989032726902,0.44700745750707577,0.18379976870151624,2.475840707694444,2.417994048867841,0.0,2.3405732979215874
2016,Fuels And Mining Products,30982.556039,0.2008854051689093,-15.023775865673962,33721.4102445,0.27114604418424143,0.3545552654399887,-0.6635124504647281,0.3499427242517407,0.14803218563342604,0.2007939407645796,0.36086538726005973,0.16998313842633328,2.056641470438411,2.286731844522744,-0.7069594582141329,2.1432195019236047
2017,Fuels And Mining Products,36497.967524,0.2246028770707692,17.801667099568384,34646.92933766667,0.40523909256852353,0.45448400077809986,0.5667141306418283,0.3729189290919907,0.17440362039610935,0.22451412730142895,0.5319754682036997,0.17465208177396646,2.478726056580717,2.5924042762524824,0.6973240675011361,2.2099096915431384
2018,Fuels And Mining Products,43192.239681,0.2450562072769579,18.341492995734733,36890.92108133333,0.5679931069675331,0.5406599401621345,0.5869456372611512,0.4286264929261495,0.20641166946952727,0.24496979853814815,0.5347894333613459,0.18597229159037224,2.9910267435912545,2.8560082221944083,0.7204180014822731,2.3716051508747897
2019,Fuels And Mining Products,36549.878,0.2285790535574076,-15.378599790281145,38746.69506833333,0.4065011623141535,0.4712368102442618,-0.6768104834608558,0.4746964698475668,0.1746518255817164,0.2284907588900217,0.35901578692033054,0.1953340688624853,2.482698672556605,2.6436495160776454,-0.7221389454302872,2.5053267780111637
2020,Fuels And Mining Products,21402.749,0.1861788449522685,-41.44235173644082,33714.955560333336,0.03823766875543828,0.29259217048181796,-1.653623514787961,0.3497824853688399,0.10222721585825018,0.1860856972765048,0.22315255698845662,0.1699505766402788,1.3235159547128206,2.0971926709378934,-1.8371550478809582,2.1427543963259055
2021,Fuels And Mining Products,36479.948145,0.2396847109860168,70.44515237271625,31477.525048333337,0.40480099770168126,0.5180282350019818,2.539678059070567,0.29423780548152834,0.17431746238613044,0.23959768744088042,0.8063915982702978,0.15866346610747342,2.477347065702441,2.786780003433433,2.949430129972063,1.9815317200921048
2022,Fuels And Mining Products,61330.408423,0.2932140425451555,68.12087610219379,39737.701856,1.0089760409404602,0.7435631667321926,2.4525692132627697,0.4992984203849689,0.29313766171780914,0.29313314581644434,0.7942757800251155,0.20033337636775192,4.379108388572343,3.4766697612564936,2.8499968068829675,2.5767358187016227
2023,Fuels And Mining Products,52893.603915,0.2687765069819202,-13.75631554548078,50234.65349433333,0.8038568330306313,0.6406005898724424,-0.6160107799449875,0.7598874377496413,0.25279785383704967,0.2686928132017623,0.3674723122057718,0.25328708946138145,3.733454814254719,3.161717098847718,-0.6527370780613431,3.33311534707237
