year,product_sector,value,global_demand_index,demand_growth_rate_pct,demand_3yr_ma
2016,Fuels And Mining Products,30982.556039,0.20088540516890932,-15.023775865673962,33721.4102445
2017,Fuels And Mining Products,36497.967524,0.22460287707076923,17.801667099568384,34646.92933766667
2018,Fuels And Mining Products,43192.239681,0.2450562072769579,18.341492995734733,36890.921081333334
2019,Fuels And Mining Products,36549.878000000004,0.22857905355740765,-15.378599790281145,38746.695068333334
2020,Fuels And Mining Products,21402.749,0.18617884495226852,-41.44235173644082,33714.955560333336
2021,Fuels And Mining Products,36479.948145,0.23968471098601682,70.44515237271625,31477.525048333337
2022,Fuels And Mining Products,61330.408423,0.29321404254515554,68.12087610219379,39737.701856
2023,Fuels And Mining Products,52893.603915,0.2687765069819202,-13.75631554548078,50234.65349433333
2024,Fuels And Mining Products,47532.404002999996,0.25175528062435115,-10.135818917946015,53918.805447
2015,Integrated Circuits And Electronic Components,295.448317,0.0017103642294580249,,295.448317
2016,Integrated Circuits And Electronic Components,125.664016,0.0008147832198717162,-57.46666717346709,210.5561665
2017,Integrated Circuits And Electronic Components,143.516611,0.0008831791446153847,14.206608676265775,188.20964800000002
2018,Integrated Circuits And Electronic Components,22.601674,0.0001282332323921295,-84.25152751133456,97.260767
2019,Integrated Circuits And Electronic Components,30.071,0.0001880608389315227,33.047667177218834,65.39642833333333
2020,Integrated Circuits And Electronic Components,25.24,0.00021955843366640694,-16.065312094709196,25.97089133333333
2021,Integrated Circuits And Electronic Components,28.386144,0.00018650587697120903,12.46491283676705,27.899047999999997
2022,Integrated Circuits And Electronic Components,23.937811,0.0001144440826903034,-15.67078994596801,25.854651666666665
2023,Integrated Circuits And Electronic Components,41.804787000000005,0.00021242917466995947,74.63913889202318,31.37624733333334
2024,Integrated Circuits And Electronic Components,77.137847,0.0004085604489311667,84.51917240960942,47.626815
2015,Iron And Steel,4326.313515000001,0.025045232806240072,,4326.313515000001
2016,Iron And Steel,3852.047614,0.024975994385171344,-10.96235627297114,4089.1805645000004
2017,Iron And Steel,3727.789742,0.022940244566153845,-3.2257615806303486,3968.7169570000005
2018,Iron And Steel,2337.68414,0.013263123500675897,-37.29034356036919,3305.8404986666665
2019,Iron And Steel,2890.576,0.018077355177923086,23.651264537389572,2985.3499606666664
2020,Iron And Steel,1825.6870000000001,0.015881338275955687,-36.8400277314971,2351.3157133333334
2021,Iron And Steel,2340.248613,0.015376168031072505,28.184547132120684,2352.170537666667
2022,Iron And Steel,2913.196145,0.013927675363108726,24.48233614229258,2359.7105859999997
2023,Iron And Steel,2737.692172,0.013911461589276097,-6.024447523082932,2663.71231
2024,Iron And Steel,2478.648211,0.013128155182093601,-9.462128856172946,2709.8455093333337
