label_year,feature_year,Exporter_ISO3,Product,Market_Share_T,Export_Growth_Rate_T,opp_score_T,class_T,Global_Demand_T,Untapped_Potential_T,pred_label,prob_Low,prob_Medium,prob_High
2023,2022,DZA,760719,1e-04,-94.7962,0.43214375,Medium,4739610.0,4739607.0,High,0.00015059023,0.2241211,0.7757283
2023,2022,DZA,330129,0.0002,-92.1434,0.3972118,Medium,2394510.5,2394505.2,High,0.000100689744,0.22481976,0.7750795
2023,2022,DZA,590700,0.0,110.687,0.63113534,High,884995.5,884995.25,High,0.0004545602,0.22512014,0.77442527
2023,2022,DZA,20714,0.0018,-81.1784,0.42679614,Medium,19036190.0,19035840.0,High,0.0003380528,0.22548929,0.7741727
2023,2022,DZA,820750,1e-04,425.1829,0.7131867,High,4724123.0,4724118.0,High,3.4442346e-05,0.22688241,0.77308315
2023,2022,DZA,961590,0.0,96.4286,0.5977478,High,450361.75,450361.72,High,0.0115034515,0.21795669,0.7705399
2023,2022,DZA,251512,0.0497,45.7871,0.60536194,High,1540965.2,1540199.5,High,0.0003155761,0.23021835,0.76946604
2023,2022,DZA,844859,1e-04,-83.1734,0.3577121,Low,541742.56,541742.1,High,0.009090101,0.22159119,0.7693187
2023,2022,DZA,200969,1e-04,-98.8967,0.3360107,Low,681512.9,681512.3,High,0.004777,0.22756568,0.76765734
2023,2022,DZA,401032,0.0,1233.3333,0.65986645,High,391691.62,391691.6,High,0.028538777,0.20381998,0.7676412
2023,2022,DZA,330499,0.0012,-89.1928,0.4320254,Medium,51173260.0,51172668.0,High,2.3266668e-05,0.23259483,0.76738185
2023,2022,DZA,620423,0.0,25.5814,0.5452291,High,413080.72,413080.62,High,0.024305262,0.2085054,0.76718926
2023,2022,DZA,330690,0.0,644.4444,0.7293063,High,1921393.0,1921392.8,High,8.922211e-05,0.23415448,0.76575625
2023,2022,DZA,871110,0.0002,-77.343,0.3722004,Medium,861944.44,861943.0,High,0.0011952567,0.23305143,0.7657533
2023,2022,DZA,846799,1e-04,-11.1634,0.5295286,High,2689262.5,2689260.8,High,0.00013909693,0.23422153,0.7656394
2023,2022,DZA,901320,0.0002,742.9024,0.74161935,High,8272106.5,8272090.5,High,7.512277e-05,0.23471566,0.7652092
2023,2022,DZA,150790,0.2163,49.4527,0.6089854,High,3859484.2,3851134.8,High,0.00023282172,0.23586246,0.7639047
2023,2022,DZA,160250,0.0,-71.5789,0.47632208,Medium,3030329.2,3030328.5,High,0.00011885207,0.23603664,0.76384455
2023,2022,DZA,392290,0.0,486.3905,0.7112477,High,2081864.2,2081863.2,High,8.730331e-05,0.23610191,0.76381075
2023,2022,DZA,760720,0.0004,-77.0023,0.4307752,Medium,4519804.5,4519788.5,High,0.00011406348,0.23618136,0.76370454
2023,2022,DZA,620433,0.0,802.381,0.7595028,High,4004769.5,4004769.0,High,0.00014604197,0.23638092,0.76347303
2023,2022,DZA,740811,0.0011,47.2972,0.62839854,High,19738070.0,19737856.0,High,0.0007248692,0.23625958,0.7630156
2023,2022,DZA,730792,0.0,423.6641,0.70156103,High,1807307.5,1807306.8,High,0.00046871998,0.23695739,0.7625739
2023,2022,DZA,340111,0.0005,-20.2202,0.4981676,Medium,4150292.2,4150270.5,High,6.737857e-05,0.23776387,0.7621687
2023,2022,DZA,847910,1e-04,-77.4606,0.4391465,Medium,2873966.0,2873964.5,High,8.2845705e-05,0.24026047,0.75965667
2023,2022,DZA,482010,1e-04,644.0789,0.7177454,High,2798103.0,2798099.5,High,0.00010252408,0.24073526,0.7591622
2023,2022,DZA,841112,0.0028,-58.2735,0.4541259,Medium,77070430.0,77068296.0,High,0.00036216283,0.24097624,0.7586616
2023,2022,DZA,720719,0.1496,-60.5071,0.45515907,Medium,4142786.2,4136587.2,High,0.00027862456,0.24183725,0.75788414
2023,2022,DZA,200410,0.0,1991.9832,0.7876287,High,10272215.0,10272210.0,High,0.0004283973,0.24209575,0.75747585
2023,2022,DZA,841320,1e-04,-74.6681,0.40918308,Medium,1313538.1,1313537.1,High,0.00014927282,0.24394393,0.75590676
2023,2022,DZA,110319,0.0,-98.1016,0.34116107,Low,356973.75,356973.56,High,0.031119378,0.21302359,0.75585705
2023,2022,DZA,620292,0.0,-23.2057,0.5294755,High,2313726.0,2313725.8,High,0.0007251405,0.2442139,0.755061
2023,2022,DZA,930599,0.0,-92.1584,0.38658053,Medium,764180.25,764180.0,High,0.010808721,0.23442268,0.7547686
2023,2022,DZA,960329,0.0,-60.2537,0.45157373,Medium,1232357.0,1232356.8,High,0.00018713802,0.24563248,0.7541804
2023,2022,DZA,100119,0.0003,56.6486,0.6608661,High,17263578.0,17263526.0,High,0.005505658,0.24094959,0.75354475
2023,2022,DZA,330430,0.0,-90.1235,0.4222018,Medium,1558040.5,1558039.8,High,9.770385e-05,0.24661852,0.7532838
2023,2022,DZA,902290,0.0005,39.4921,0.6219423,High,7945235.5,7945193.0,High,8.058749e-05,0.24738325,0.7525362
2023,2022,DZA,843319,0.0,230.0,0.63132256,High,525715.25,525715.2,High,0.009104775,0.23884235,0.7520529
2023,2022,DZA,611211,0.0,-85.5285,0.39171115,Medium,676208.2,676208.06,High,0.0013503451,0.24884948,0.74980015
2023,2022,DZA,620690,0.0,13250.0,0.7141518,High,1369188.0,1369187.6,High,0.0002415214,0.25012368,0.74963474
2023,2022,DZA,732020,1e-04,-95.7214,0.42044502,Medium,3789214.2,3789211.0,High,5.428236e-05,0.2508134,0.74913234
2023,2022,DZA,610831,0.0,-43.2892,0.49910286,High,2229322.0,2229321.8,High,0.00020399097,0.2514883,0.7483077
2023,2022,DZA,262190,0.0,-99.5495,0.34166133,Low,434521.9,434521.72,High,0.016107488,0.23680565,0.7470869
2023,2022,DZA,940430,0.0,351.3514,0.6615207,High,825035.2,825034.9,High,0.0009393172,0.25209174,0.7469689
2023,2022,DZA,940389,1e-04,3383.077,0.7284698,High,3772484.0,3772481.8,High,5.9163234e-05,0.25359496,0.7463459
2023,2022,DZA,420212,0.0008,83.2087,0.64785993,High,11278986.0,11278893.0,High,0.00033845045,0.25440058,0.745261
2023,2022,DZA,846721,0.0002,-79.6645,0.44519943,Medium,5142808.0,5142799.5,High,4.6282043e-05,0.25551,0.74444366
2023,2022,DZA,491199,0.0003,-58.8186,0.46432513,Medium,5236103.5,5236089.5,High,6.1339655e-05,0.25699073,0.74294794
2023,2022,DZA,720720,0.33,427.5302,0.6800477,High,5509710.5,5491529.5,High,0.00019414956,0.2571126,0.74269325
2023,2022,DZA,620333,0.0,-36.293,0.5144168,High,2570581.0,2570580.0,High,0.00032816886,0.2578662,0.7418056
2023,2022,DZA,902620,0.0016,-72.9593,0.4304575,Medium,10795195.0,10795018.0,High,6.211347e-05,0.2584105,0.7415274
2023,2022,DZA,420330,1e-04,-31.6724,0.49317703,Medium,2573000.2,2572998.0,High,0.00014315064,0.25888124,0.7409756
2023,2022,DZA,10619,1e-04,-99.6808,0.30063727,Low,318211.12,318210.66,High,0.040195256,0.21890035,0.74090433
2023,2022,DZA,481920,0.002,-37.6928,0.46836326,Medium,10328204.0,10327994.0,High,0.00012996153,0.25996944,0.7399006
2023,2022,DZA,848360,0.0002,-79.6507,0.4318034,Medium,3663565.2,3663557.8,High,5.0332277e-05,0.26006427,0.7398854
2023,2022,DZA,854419,0.0,3.3333,0.5564533,High,1303724.8,1303724.5,High,0.00049937627,0.26091725,0.7385833
2023,2022,DZA,902680,0.0005,-55.5332,0.44540438,Medium,3809546.5,3809526.2,High,9.504162e-05,0.2629255,0.7369794
2023,2022,DZA,630210,0.0,-26.9231,0.5075534,High,1632749.8,1632749.5,High,0.0003343696,0.26319078,0.7364749
2023,2022,DZA,690919,1e-04,-97.2221,0.42593175,Medium,4736169.0,4736166.0,High,0.0004113503,0.26348096,0.73610765
2023,2022,DZA,731822,1e-04,-97.533,0.40626156,Medium,2943947.8,2943943.8,High,6.254685e-05,0.26445222,0.7354852
2023,2022,DZA,610322,0.0,-96.7998,0.34017178,Low,310630.9,310630.8,High,0.043075554,0.22251536,0.7344091
2023,2022,DZA,848340,0.0015,10.2808,0.5747481,High,21124156.0,21123830.0,High,0.00011306048,0.2660158,0.73387116
2023,2022,DZA,630419,0.0,440.0,0.653852,High,617467.25,617467.0,High,0.0049079466,0.26140916,0.7336829
2023,2022,DZA,71140,0.0004,-91.8906,0.42729416,Medium,154811.89,154811.2,High,0.00017036668,0.26693016,0.7328994
2023,2022,DZA,853110,1e-04,-74.3829,0.46446103,Medium,4987528.5,4987525.0,High,9.733733e-05,0.2677339,0.7321688
2023,2022,DZA,330420,0.0002,42.1729,0.6286304,High,5094993.0,5094984.5,High,8.22585e-05,0.26822907,0.7316887
2023,2022,DZA,40221,0.0017,-46.6024,0.4640025,Medium,12181158.0,12180948.0,High,0.00029090687,0.26864427,0.7310648
2023,2022,DZA,620920,0.0,-60.6396,0.46048415,Medium,1540590.2,1540590.0,High,0.0001489367,0.2689324,0.73091865
2023,2022,DZA,901832,0.0002,-86.5009,0.42325142,Medium,3721593.8,3721587.2,High,0.00014521145,0.26928297,0.7305718
2023,2022,DZA,843290,1e-04,-81.4149,0.44923776,Medium,4233070.0,4233065.0,High,0.00013912686,0.26999804,0.7298628
2023,2022,DZA,844250,0.0004,-90.4264,0.3319044,Low,710075.94,710072.8,High,0.011582688,0.2587125,0.7297048
2023,2022,DZA,902129,1e-04,-22.0941,0.5251182,High,4004630.2,4004627.5,High,0.0002016778,0.27024192,0.7295564
2023,2022,DZA,851989,0.0,-49.211,0.4657219,Medium,1253299.0,1253298.5,High,0.0003140693,0.27096355,0.7287224
2023,2022,DZA,820320,0.0,235.1648,0.6913732,High,1961784.2,1961783.6,High,0.000110246176,0.27224714,0.7276426
2023,2022,DZA,30284,1e-04,-93.4753,0.36503202,Low,939808.0,939807.0,High,0.0018295986,0.27126294,0.72690743
2023,2022,DZA,420299,1e-04,-25.5898,0.48504496,Medium,1732759.8,1732757.2,High,0.00034330387,0.27276376,0.7268929
2023,2022,DZA,630590,0.0002,-98.2053,0.28573015,Low,230502.3,230501.9,High,0.09776691,0.17557406,0.726659
2023,2022,DZA,900311,0.0,294.5148,0.71877736,High,3396204.0,3396203.0,High,8.428421e-05,0.2742765,0.7256392
2023,2022,DZA,90421,0.0,-81.4023,0.4380284,Medium,1649695.6,1649695.2,High,0.00015356306,0.2746077,0.7252388
2023,2022,DZA,293629,0.0,30.6122,0.6206875,High,1979205.8,1979205.5,High,0.00034910935,0.2756045,0.72404647
2023,2022,DZA,640319,0.0,-61.1927,0.4736637,Medium,2063180.1,2063179.2,High,0.00012917926,0.27625594,0.7236149
2023,2022,DZA,910219,0.0,-47.1649,0.4636785,Medium,1149509.5,1149509.2,High,0.0004863794,0.27639028,0.7231233
2023,2022,DZA,392030,1e-04,179.1583,0.6686963,High,2653838.2,2653837.0,High,0.0002916891,0.27668318,0.72302514
