Year,Product,Global_Demand,Untapped_Potential,Algeria_Exports,Algeria_Market_Share,Market_Share,Export_Growth_Rate,cluster,Opportunity_Label
2024,380620,10.919394778718335,10.919394778718335,0.0,0.0,0.0,0.0,2,Low Priority
2024,381700,14.795347124425703,14.795347124425703,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,382430,13.30399123864715,13.30399123864715,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,390220,14.011178185107573,14.011178185107573,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,390320,13.716071541131162,13.716071541131162,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,390740,16.130146501797686,16.130146501797686,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,400259,13.941458457328169,13.941458457328169,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,440121,14.044709674875564,14.044709674875564,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,440810,13.246998505100457,13.246998505100457,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,470321,16.669257681970944,16.669257681970944,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,480591,14.26095567101894,14.26095567101894,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,520291,11.182050575930333,11.182050575930333,0.0,0.0,0.0,0.0,2,Low Priority
2024,520813,11.880030600848002,11.880030600848002,0.0,0.0,0.0,0.0,2,Low Priority
2024,521059,10.88670616126265,10.88670616126265,0.0,0.0,0.0,0.0,2,Low Priority
2024,540269,13.02921396625709,13.02921396625709,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,540412,11.542705883429784,11.542705883429784,0.0,0.0,0.0,0.0,2,Low Priority
2024,550340,13.379609746218895,13.379609746218895,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,681490,11.650650891575877,11.650650891575877,0.0,0.0,0.0,0.0,2,Low Priority
2024,690320,14.02580831907373,14.02580831907373,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,700231,13.026869895401184,13.026869895401184,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,721113,12.148218872925524,12.148218872925524,0.0,0.0,0.0,0.0,2,Low Priority
2024,722490,15.145971415633284,15.145971415633284,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,722920,13.69986223830451,13.69986223830451,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,732611,14.235674575844701,14.235674575844701,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,760521,13.6341895724319,13.6341895724319,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,845720,11.755968470265312,11.755968470265312,0.0,0.0,0.0,0.0,2,Low Priority
2024,845921,12.764059496038541,12.764059496038541,0.0,0.0,0.0,0.0,2,Low Priority
2024,854710,13.49539976455104,13.49539976455104,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,261610,15.568736931455996,15.568736931455996,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,230630,14.88668844228885,14.88668844228885,0.0,0.0,0.0,0.0,0,Niche / Emerging
2024,30283,8.3023701782177,8.3023701782177,0.0,0.0,0.0,0.0,2,Low Priority
2024,30485,10.500554659499565,10.500554659499565,0.0,0.0,0.0,0.0,2,Low Priority
2024,30492,9.647841922413313,9.647841922413313,0.0,0.0,0.0,0.0,2,Low Priority
