country_code,NE.IMP.GNFS.ZS_std,NY.GDP.MKTP.CD_std,NY.GDP.MKTP.KD.ZG_std,NY.GDP.PCAP.CD_std,SP.POP.TOTL_std,TG.VAL.TOTL.GD.ZS_std,country_cluster
AFG,-0.2149541462517225,-0.1819058518804055,-0.3382565148968159,-0.6043903573056357,-0.0968301144538429,-0.5051780009158945,0
AFG,-0.2149541462517225,-0.1823375337435927,-0.1983274616698462,-0.606135759452332,-0.0948959352272499,-0.6045966002618629,0
AFG,-0.2149541462517225,-0.1820673706041832,-0.1314435849334903,-0.6059997975255592,-0.0926957876574056,-0.5504767293868121,0
AFG,-0.2149541462517225,-0.1823644063815338,-0.3835884567175752,-0.6073697315267362,-0.0903492022253523,-0.4421648882193096,0
AFG,-0.2149541462517225,-0.1820478627214764,0.0872886903906513,-0.6071584056767406,-0.0878713233766991,-0.5724904622026088,0
AFG,-0.3765081400931196,-0.1815572875938906,-0.9959433858644332,-0.6065890983705564,-0.0851713289606365,-0.6718805638327623,0
AFG,-0.3470974987801281,-0.1839734749341275,-4.176388778791875,-0.6127816706659096,-0.0830978266224103,-0.493855383698588,0
AFG,0.3099287940472434,-0.1838728353033392,-1.6686187576648146,-0.6127509693111997,-0.0818101591707522,-0.7861843196192878,0
AFG,0.1677321277072064,-0.1827466011313444,-0.1971807807080194,-0.6104834326399676,-0.0798602388924318,-0.9014365609774132,0
AFG,-0.2149541462517225,-0.1816938549327945,0.0353672715970681,-0.4174429684277611,-0.0772050500410867,-1.0515378809769782,0
AGO,-0.2149541462517225,-0.1861497658663269,-0.0609391877721186,-0.6044640438480621,-0.136092351266959,1.4062015483953585,0
AGO,-0.2149541462517225,-0.1862318543499159,0.1382089085871937,-0.6056740388093617,-0.1348627660922942,1.1230118057813872,0
AGO,-0.196227507351967,-0.1826790362649787,1.774409456571664,-0.586991683891248,-0.1335705105614946,0.154590029558506,0
AGO,-0.1192432624690488,-0.1813934638306803,0.0139009602761429,-0.5815895195455821,-0.1321991780063051,0.2505964627271152,0
AGO,-0.2614717122458693,-0.1785700847174045,1.3859590293143822,-0.568834076476989,-0.1307372459145294,0.1966079046654376,0
AGO,-0.3641062502049083,-0.1724622438035784,1.859004966780188,-0.5409632383100241,-0.1291995648810018,0.3686322025670882,0
AGO,-0.6974802737195426,-0.1651418983096317,1.4589426202192577,-0.5094744453996923,-0.1275875752197468,0.1411784471230657,0
AGO,-0.3868314495865723,-0.1590402067575006,1.659733326884232,-0.4860106093259611,-0.1258884009240905,0.3953407512453423,0
AGO,-0.0991350959531729,-0.1481160743717522,1.2764325121028728,-0.443342400593488,-0.1241072778805642,0.5559600531289087,0
AGO,0.1915444236221005,-0.1553635575572453,-0.2441157858480776,-0.480789287963703,-0.1222459602892473,0.3508615069651921,0
AGO,-0.3458922844882868,-0.1494919569136766,0.3263378625334396,-0.4624677917194881,-0.1202868393650792,0.1688035095186354,0
AGO,-0.4282335595031229,-0.1367641027357482,0.0323316855530296,-0.4190202655114959,-0.1182309369073446,0.1520073228854609,0
AGO,-0.5414314543546465,-0.1291195664359482,0.8814633866537279,-0.3982179137491401,-0.1160959730082158,0.0601535582854666,0
AGO,-0.5337041898326735,-0.1268830853112832,0.2553174399838266,-0.3987747525573947,-0.1138960413741681,-0.0020101107175553,0
AGO,-0.5168098133074334,-0.1249298110153389,0.2159958431391295,-0.4003356919039111,-0.1116806981574434,-0.1603841443535192,0
AGO,-0.6575676259275277,-0.1465242249157339,-0.45728050298828,-0.4809265330740802,-0.1094611697933213,-0.276164644191134,0
AGO,-0.9015257132154184,-0.164622433296891,-0.8834171325454514,-0.5447388680572767,-0.1071787684941211,0.1054142616598065,0
AGO,-0.9825163949677886,-0.1542302098380193,-0.6151243586168741,-0.5150824237911338,-0.1048373811041812,-0.1360162531999715,0
AGO,-0.8896864838065224,-0.1520516036202396,-0.692096624454036,-0.5122980179714133,-0.102472514592113,-0.0109586724869167,0
AGO,-0.856378643073555,-0.1557753436360855,-0.6246865897411131,-0.5270043351293394,-0.1000716713954223,-0.0608198805133739,0
AGO,-0.8860005461358436,-0.1650575698119769,-1.288488081507756,-0.5564768935520314,-0.0976774554241583,-0.2527468966922265,0
AGO,-0.9120644162391534,-0.156273724049728,-0.2255802054078889,-0.5346209170268535,-0.0952703345063713,-0.149265568199841,0
AGO,-0.9881079796274392,-0.1343629146747724,0.1399392609192205,-0.4793056841729951,-0.0928157900806013,-0.2734714824077088,0
AGO,-0.9636723736733874,-0.1445624584453295,-0.3707751666868096,-0.5100486931754779,-0.0903339153066404,-0.3017786539933065,0
AGO,-1.0144861998484764,-0.1471792462865051,0.1758995015215689,-0.5200931428715906,-0.0878051446204056,-0.248725807510146,0
ALB,-0.1583375020243126,-0.1885019384249784,0.701533527657329,-0.5805156023795102,-0.1652678196381934,-0.6454339461725761,0
ALB,-0.0997378991036413,-0.1883006604333716,0.9438361179912786,-0.5738532334441888,-0.1653320527461756,-0.5821884819971591,0
ALB,-0.017348981480153,-0.1881072532912233,0.2112690942611314,-0.5676955201104209,-0.1653524508874538,-0.567587220241165,0
ALB,-0.0610962256828318,-0.1875614376226169,0.3331870445037,-0.5504829144021166,-0.1653778155520532,-0.592286334728305,0
ALB,-0.1053033556351429,-0.1868806325289143,0.3215979163177812,-0.528881455846822,-0.165406036357137,-0.6049251241400374,0
ALB,0.0148028915734164,-0.1865200613782714,0.2981714950133587,-0.5170489732160847,-0.1654404347069167,-0.5959991318178831,0
ALB,0.053231701194299,-0.1861408861207882,0.4517924612386927,-0.5043640347068467,-0.1654825978408039,-0.5368794544701664,0
ALB,0.2449511804681824,-0.1853067446721124,0.5350081556389246,-0.4768597280023589,-0.1655327528253065,-0.4040518816204255,0
ALB,0.1652453989614329,-0.1843983017258307,0.6053998941074873,-0.4465392255732095,-0.1655832929324154,-0.3445204733646358,0
ALB,0.0902892419110542,-0.1847898192958799,-0.123876632417854,-0.4579720739956212,-0.1656273594179116,-0.4451919620299947,0
ALB,0.0618717731456978,-0.1848954417703722,-0.0750306580828956,-0.4605610428722715,-0.1656596340280013,-0.3586266656583623,0
ALB,0.2021229411180579,-0.1845190915036645,-0.1631804052896547,-0.4478555051515869,-0.1656770558171143,-0.1774795711920436,0
ALB,0.0594218131949602,-0.1848275900161296,-0.4190633888283041,-0.4552716197139881,-0.1657760902066203,-0.1923539412724684,0
ALB,0.0226297552831598,-0.1845940764731607,-0.2939922677007107,-0.4447562301920084,-0.1658736085932657,-0.1718580498906462,0
ALB,0.0253294123687345,-0.184382260272285,-0.2018018637976187,-0.4346954737325623,-0.165969633238473,-0.1514786698514164,0
ALB,-0.078023546929823,-0.1851569045451788,-0.2039678905326882,-0.4585384268074548,-0.1660641864036645,-0.2342820854524853,0
ALB,-0.0352715832918959,-0.1849369606570121,0.0868272351362237,-0.448179601835837,-0.1661572925764048,-0.2193441243711452,0
ALB,-0.0186563029252419,-0.1843984026587568,-0.0214076167540033,-0.426156095659425,-0.1662489740181161,-0.1639011174732243,0
ALB,-0.0640833103306092,-0.1834985830105974,0.0457451085990949,-0.3903833650487008,-0.1663392485379364,-0.1603422653831762,0
ALB,-0.0691349604284922,-0.1834113670971913,-0.2325290303378906,-0.3834886724974887,-0.1664281428495724,-0.2082353861823559,0
ALB,-0.3504747026613763,-0.1835571429733311,-1.1624496608730583,-0.3851553287614855,-0.1665156769883042,-0.2649742472037946,0
ALB,-0.0687075890509807,-0.182373413365405,0.9621437486700196,-0.3364088421699284,-0.1666018687632697,-0.0269838276569369,0
ALB,0.0459835176859793,-0.1819554719500004,0.2455862814856056,-0.3157587498391122,-0.1666867426620335,0.0797726428514821,0
ALB,-0.0884409803574893,-0.1800576247239934,0.1052448936107057,-0.2365345838255763,-0.1667703142675911,-0.1991421527813005,0
ALB,-0.1172267863039446,-0.1785495318690971,0.1105222943064053,-0.1704348263653857,-0.1668526080675071,-0.3312198763097276,0
AND,-0.2149541462517225,-0.1894147910336909,0.0210011893534672,0.2482799174279015,-0.1719982089482755,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1893657287808544,0.8150852409541228,0.3165526238703671,-0.1719978371825227,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1892740967386164,0.1970800968383361,0.4376353533020271,-0.1719963812855025,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1890184505352824,0.9145137963017091,0.7400757863106519,-0.171989747381649,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1887922262337339,0.8179077995122481,0.93904996225815,-0.171978975079385,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1886815788375417,0.3443488099914895,1.011643452560529,-0.1719720829430326,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1885550618017258,0.2424535424879153,1.1174967503830482,-0.1719672655712411,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1883436893018804,-0.3206359120232749,1.3129198559509685,-0.1719621632532437,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1882823125365017,-1.5508317026045335,1.3448774210098056,-0.1719585613551112,-0.2357093139553563,0
AND,-0.2149541462517225,-0.188457650483276,-1.506493742999255,1.1378778141356451,-0.1719576864812138,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1885590539549564,-0.9308836605081816,1.0885843552034753,-0.1719647700657982,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1884830350604699,-0.590679747198237,1.2455277781785437,-0.1719712770795444,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1886698844513836,-1.4496913667571028,1.0385640107061718,-0.1719733896885232,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1886678227731593,-1.2028959511570854,1.0774865370758366,-0.1719770405617848,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1886346621743103,-0.1560976938626928,1.1537182220772242,-0.1719802840510179,-0.3278562276792925,0
AND,-0.2149541462517225,-0.1888390410387738,-0.3412270712164773,0.924353958894606,-0.1719837635113276,-0.3491703716737288,0
AND,-0.2149541462517225,-0.1887937669846651,0.0523625611632617,0.983549539068557,-0.1719837479283319,-0.3370816290432113,0
AND,-0.2149541462517225,-0.1887498421992136,-0.5294254420494899,1.0053485724115356,-0.1719802261713198,-0.2597394131679253,0
AND,-0.2149541462517225,-0.188657258124869,-0.314482256102632,1.0915113461069093,-0.1719771117983363,-0.2396941726367205,0
AND,-0.2149541462517225,-0.1886840962622133,-0.2406636458361476,1.0288217285225023,-0.171974191099727,-0.2357093139553563,0
AND,-0.2149541462517225,-0.1887961464726457,-2.5237203141281497,0.8724245403056113,-0.1719721742148642,-0.1528120806562805,0
AND,-0.2149541462517225,-0.1886121961113333,0.8440433187113426,1.0756958266657992,-0.1719699836909072,-0.2909291591660159,0
AND,-0.2149541462517225,-0.1885884566162149,1.0650644908689595,1.0752278981333392,-0.1719669984341731,0.0731064333618729,0
AND,-0.2149541462517225,-0.1884168892682158,-0.1424179713420444,1.25175991278511,-0.1719644361444633,-0.1060655994711163,0
AND,-0.2149541462517225,-0.188308814154353,-0.0060751902780374,1.351746911467916,-0.1719620274585675,-0.1722109027104321,0
ARG,-1.3054942064095425,-0.0694646469040281,-0.7257535956907243,-0.3205729072844163,-0.0893008116715755,-1.1337373019763,0
ARG,-1.356848703163903,-0.0760426408982368,-1.351861351868588,-0.3404617480487164,-0.0883862211705527,-1.1506349733711914,0
ARG,-1.2401506363166968,-0.1485684482565031,-2.473654551470085,-0.523953186955619,-0.0874856932100138,-0.7020038648774479,0
ARG,-1.1895175488777463,-0.1359007219192333,0.9392196907792868,-0.4938201765756363,-0.0866065161796286,-0.7376522174032213,0
ARG,-1.1092078697125412,-0.1201754022412516,0.9725211819726316,-0.45683338726217,-0.0857346831924692,-0.7223548597115202,0
ARG,-1.0918600862975991,-0.1057191863516528,0.9417482957102912,-0.4236960460030513,-0.0848422828772218,-0.7196293827602579,0
ARG,-1.0880394224715986,-0.0913728364742682,0.8025960519582322,-0.3915181715036909,-0.0839399695506123,-0.7206033761839107,0
ARG,-1.055043337176803,-0.0680534521547885,0.968729357498534,-0.3387047482874797,-0.0830614269707635,-0.7144410922819446,0
